🎃	jack-o-lantern	celebration, halloween, jack, jack-o-lantern, lantern
🎄	Christmas tree	celebration, Christmas, tree
🎆	fireworks	celebration, fireworks
🎇	sparkler	celebration, fireworks, sparkle, sparkler
🧨	firecracker	dynamite, explosive, firecracker, fireworks
✨	sparkles	*, sparkle, sparkles, star
🎈	balloon	balloon, celebration
🎉	party popper	celebration, party, popper, tada
🎊	confetti ball	ball, celebration, confetti
🎋	tanabata tree	banner, celebration, Japanese, tanabata tree, tree
🎍	pine decoration	bamboo, celebration, Japanese, pine, pine decoration
🎎	Japanese dolls	celebration, doll, festival, Japanese, Japanese dolls
🎏	carp streamer	carp, celebration, streamer
🎐	wind chime	bell, celebration, chime, wind
🎑	moon viewing ceremony	celebration, ceremony, moon, moon viewing ceremony
🧧	red envelope	gift, good luck, hóngbāo, lai see, money, red envelope
🎀	ribbon	celebration, ribbon
🎁	wrapped gift	box, celebration, gift, present, wrapped
🎗️	reminder ribbon	celebration, reminder, ribbon
🎟️	admission tickets	admission, admission tickets, ticket
🎫	ticket	admission, ticket
🎖️	military medal	celebration, medal, military
🏆	trophy	prize, trophy
🏅	sports medal	medal, sports medal
🥇	1st place medal	1st place medal, first, gold, medal
🥈	2nd place medal	2nd place medal, medal, second, silver
🥉	3rd place medal	3rd place medal, bronze, medal, third
⚽	soccer ball	ball, football, soccer
⚾	baseball	ball, baseball
🥎	softball	ball, glove, softball, underarm
🏀	basketball	ball, basketball, hoop
🏐	volleyball	ball, game, volleyball
🏈	american football	american, ball, football
🏉	rugby football	ball, football, rugby
🎾	tennis	ball, racquet, tennis
🥏	flying disc	flying disc, ultimate
🎳	bowling	ball, bowling, game
🏏	cricket game	ball, bat, cricket game, game
🏑	field hockey	ball, field, game, hockey, stick
🏒	ice hockey	game, hockey, ice, puck, stick
🥍	lacrosse	ball, goal, lacrosse, stick
🏓	ping pong	ball, bat, game, paddle, ping pong, table tennis
🏸	badminton	badminton, birdie, game, racquet, shuttlecock
🥊	boxing glove	boxing, glove
🥋	martial arts uniform	judo, karate, martial arts, martial arts uniform, taekwondo, uniform
🥅	goal net	goal, net
⛳	flag in hole	flag in hole, golf, hole
⛸️	ice skate	ice, skate
🎣	fishing pole	fish, fishing pole, pole
🤿	diving mask	diving, diving mask, scuba, snorkeling
🎽	running shirt	athletics, running, sash, shirt
🎿	skis	ski, skis, snow
🛷	sled	sled, sledge, sleigh
🥌	curling stone	curling stone, game, rock
🎯	bullseye	bullseye, dart, direct hit, game, hit, target
🪀	yo-yo	fluctuate, toy, yo-yo
🪁	kite	fly, kite, soar
🔫	water pistol	gun, handgun, pistol, revolver, tool, weapon
🎱	pool 8 ball	8, ball, billiard, eight, game, pool 8 ball
🔮	crystal ball	ball, crystal, fairy tale, fantasy, fortune, tool
🪄	magic wand	magic, magic wand, witch, wizard
🎮	video game	controller, game, video game
🕹️	joystick	game, joystick, video game
🎰	slot machine	game, slot, slot machine
🎲	game die	dice, die, game
🧩	puzzle piece	clue, interlocking, jigsaw, piece, puzzle
🧸	teddy bear	plaything, plush, stuffed, teddy bear, toy
🪅	piñata	celebration, party, piñata
🪩	mirror ball	
🪆	nesting dolls	doll, nesting, nesting dolls, russia
♠️	spade suit	card, game, spade suit
♥️	heart suit	card, game, heart suit
♦️	diamond suit	card, diamond suit, game
♣️	club suit	card, club suit, game
♟️	chess pawn	chess, chess pawn, dupe, expendable
🃏	joker	card, game, joker, wildcard
🀄	mahjong red dragon	game, mahjong, mahjong red dragon, red
🎴	flower playing cards	card, flower, flower playing cards, game, Japanese, playing
🎭	performing arts	art, mask, performing, performing arts, theater, theatre
🖼️	framed picture	art, frame, framed picture, museum, painting, picture
🎨	artist palette	art, artist palette, museum, painting, palette
🧵	thread	needle, sewing, spool, string, thread
🪡	sewing needle	embroidery, needle, sewing, stitches, sutures, tailoring
🧶	yarn	ball, crochet, knit, yarn
🪢	knot	knot, rope, tangled, tie, twine, twist
🐵	monkey face	face, monkey
🐒	monkey	monkey
🦍	gorilla	gorilla
🦧	orangutan	ape, orangutan
🐶	dog face	dog, face, pet
🐕	dog	dog, pet
🦮	guide dog	accessibility, blind, guide, guide dog
🐕‍🦺	service dog	accessibility, assistance, dog, service
🐩	poodle	dog, poodle
🐺	wolf	face, wolf
🦊	fox	face, fox
🦝	raccoon	curious, raccoon, sly
🐱	cat face	cat, face, pet
🐈	cat	cat, pet
🐈‍⬛	black cat	black, cat, unlucky
🦁	lion	face, Leo, lion, zodiac
🐯	tiger face	face, tiger
🐅	tiger	tiger
🐆	leopard	leopard
🐴	horse face	face, horse
🫎	moose	
🫏	donkey	
🐎	horse	equestrian, horse, racehorse, racing
🦄	unicorn	face, unicorn
🦓	zebra	stripe, zebra
🦌	deer	deer
🦬	bison	bison, buffalo, herd, wisent
🐮	cow face	cow, face
🐂	ox	bull, ox, Taurus, zodiac
🐃	water buffalo	buffalo, water
🐄	cow	cow
🐷	pig face	face, pig
🐖	pig	pig, sow
🐗	boar	boar, pig
🐽	pig nose	face, nose, pig
🐏	ram	Aries, male, ram, sheep, zodiac
🐑	ewe	ewe, female, sheep
🐐	goat	Capricorn, goat, zodiac
🐪	camel	camel, dromedary, hump
🐫	two-hump camel	bactrian, camel, hump, two-hump camel
🦙	llama	alpaca, guanaco, llama, vicuña, wool
🦒	giraffe	giraffe, spots
🐘	elephant	elephant
🦣	mammoth	extinction, large, mammoth, tusk, woolly
🦏	rhinoceros	rhinoceros
🦛	hippopotamus	hippo, hippopotamus
🐭	mouse face	face, mouse
🐁	mouse	mouse
🐀	rat	rat
🐹	hamster	face, hamster, pet
🐰	rabbit face	bunny, face, pet, rabbit
🐇	rabbit	bunny, pet, rabbit
🐿️	chipmunk	chipmunk, squirrel
🦫	beaver	beaver, dam
🦔	hedgehog	hedgehog, spiny
🦇	bat	bat, vampire
🐻	bear	bear, face
🐻‍❄️	polar bear	
🐨	koala	bear, koala
🐼	panda	face, panda
🦥	sloth	lazy, sloth, slow
🦦	otter	fishing, otter, playful
🦨	skunk	skunk, stink
🦘	kangaroo	Australia, joey, jump, kangaroo, marsupial
🦡	badger	badger, honey badger, pester
